DN,cn,member,member;range=0-1499
"CN=Administrators,CN=Builtin,DC=contoso,DC=com",Administrators,"CN=Domain Admins,CN=Users,DC=contoso,DC=com;CN=Enterprise Admins,CN=Users,DC=contoso,DC=com;CN=chadadmin,CN=Users,DC=contoso,DC=com",
"CN=Schema Admins,CN=Users,DC=contoso,DC=com",Schema Admins,"CN=Chad Cox,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com;CN=chadadmin,CN=Users,DC=contoso,DC=com",
"CN=Enterprise Admins,CN=Users,DC=contoso,DC=com",Enterprise Admins,"CN=Chad Cox,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com;CN=chadadmin,CN=Users,DC=contoso,DC=com",
"CN=Cert Publishers,CN=Users,DC=contoso,DC=com",Cert Publishers,"CN=DC1,OU=Domain Controllers,DC=contoso,DC=com",
"CN=Domain Admins,CN=Users,DC=contoso,DC=com",Domain Admins,"CN=Super Admins,OU=Groups,DC=contoso,DC=com;CN=Darrell Buchanan,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com;CN=Catherine Woodard,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com;CN=Thaddeus Mayo,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com;CN=Kali Tanner,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com;CN=Chad Cox,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com;CN=chadadmin,CN=Users,DC=contoso,DC=com",
"CN=Domain Users,CN=Users,DC=contoso,DC=com",Domain Users,"CN=Scott Burgess,OU=Accounts,OU=Tier 0,OU=Admin,DC=contoso,DC=com",
"CN=Server Operators,CN=Builtin,DC=contoso,DC=com",Server Operators,"CN=DCRestrictedAdmin,CN=Builtin,DC=contoso,DC=com",
"CN=Account Operators,CN=Builtin,DC=contoso,DC=com",Account Operators,"CN=H123456,OU=User Accounts,DC=contoso,DC=com;CN=12345,OU=User Accounts,DC=contoso,DC=com;CN=s s,OU=User Accounts,DC=contoso,DC=com;CN=E123456a,OU=User Accounts,DC=contoso,DC=com",
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=contoso,DC=com",Pre-Windows 2000 Compatible Access,"CN=DC1,OU=Domain Controllers,DC=contoso,DC=com;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=contoso,DC=com",
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=contoso,DC=com",Incoming Forest Trust Builders,,
