DN,sAMAccountName,manager
"CN=chadadmin,CN=Users,DC=contoso,DC=com",chadadmin,
"CN=Guest,CN=Users,DC=contoso,DC=com",Guest,
"CN=DefaultAccount,CN=Users,DC=contoso,DC=com",DefaultAccount,
"CN=DC1,OU=Domain Controllers,DC=contoso,DC=com",DC1$,
"CN=krbtgt,CN=Users,DC=contoso,DC=com",krbtgt,
"CN=ADFS,OU=Tier 1 Servers,DC=contoso,DC=com",ADFS$,
"CN=Laylah Mcclure,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",678119,"CN=Annabella Gonzalez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooks Gomez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",856334,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Semaj Allison,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",678622,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Lillianna Ramsey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",960802,"CN=Taniyah Cuevas,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ana Haney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",523731,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Piper Ochoa,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",655532,"CN=Annabella Gonzalez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ari Stephenson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",139077,"CN=Alfredo Mcknight,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Saige Gordon,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",996370,"CN=Jaylee Fry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Hope Werner,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",178957,"CN=Braelyn Hickman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ingrid Casey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",541882,"CN=Fabian Wilson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Bruno Farmer,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",739528,"CN=Landen Brennan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Elisha Dickerson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",356326,"CN=Hailee Lutz,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Lucille Bishop,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",805591,"CN=Giovanni Perkins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Baylee Hogan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",892398,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Jaylin Blankenship,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",838012,"CN=Katelyn Moon,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Eve Raymond,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",220397,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Maliyah Rodgers,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",971772,"CN=Fernando Hamilton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Tobias Briggs,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",875485,"CN=Cali Tyler,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Darren Mckinney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",369180,"CN=Aiden Gutierrez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Gary Browning,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",610561,"CN=Annabella Gonzalez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Urijah Pennington,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",692408,"CN=Landen Brennan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Isaias Meadows,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",420783,"CN=Jaylin Townsend,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Lexi Reilly,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",202218,"CN=Lillianna Ramsey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Isabella Russell,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",378909,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Brent Flowers,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",598628,"CN=Patience Underwood,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Nayeli Wall,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",962554,"CN=Lillianna Ramsey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ryleigh Bowen,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",261798,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Cassandra Dunlap,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",553777,"CN=Fabian Wilson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Larry Lane,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",357453,"CN=Patience Underwood,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ella Holder,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",265173,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Anika Lawrence,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",397323,"CN=Landen Brennan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Braydon Cherry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",254303,"CN=Fernando Hamilton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kaelyn Morrison,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",910539,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Raul Hancock,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",979660,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kate Mendez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",185436,"CN=Jaylee Fry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Benjamin Solomon,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",458436,"CN=Landen Brennan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Brendon Strong,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",437598,"CN=Hailee Lutz,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Fatima Weeks,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",577862,"CN=Sergio Shea,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kaylee Mcintyre,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",200709,"CN=Darren Mckinney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Holly Rivera,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",736417,"CN=Raquel Acosta,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Daphne Cole,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",441734,"CN=Darren Mckinney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Virginia Lawson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",377922,"CN=Alfredo Mcknight,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
